meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.799336667208329,6.608443996783801,6.502226071360067,6.4432492420027465,6.410628809201864,6.392712938684286,6.383000926819412,6.377865949992836,6.3752845580863164,6.374127843047981,6.373765972999057,6.373847556880845,6.374176549240115,6.37464357387397,6.375187608434976,6.375774607794593,6.376385577751096,6.377009921202496,6.377641725893457,6.378277693303005,6.378915983145158,6.379555568701422,6.380195877152743,6.380836588916232,156.71952054794522,158.47304109589044,160.22656164383565,161.98008219178087,163.73360273972608,165.4871232876713,167.2406438356165,168.99416438356172,170.74768493150694,172.50120547945215,5673.692191780827,7358.825438356177,8725.915273972607,10674.732794520532,11934.857876712294
X7,1.308540703481558,1.3187260579016258,1.3273106333889602,1.3345460160038785,1.3406442513402095,1.3457840588938002,1.3501160697511974,1.3537672410981665,1.356844576922975,1.3594382639561822,1.3616243147511566,1.3634667953654427,1.3650197029290836,1.3663285481253453,1.3674316889612113,1.368361454916139,1.369145094414231,1.3698055733871544,1.3703622483311,1.3708314335828957,1.3712268794402975,1.3715601751386122,1.3718410884935908,1.3720778521644221,50.64842225346503,45.44023878340727,42.85710313251661,41.624485626545095,41.08667422903316,40.90632232228701,40.90987393334647,41.00803907330907,41.15488038846573,41.326764317073014,1340.099104245394,1507.8453276673602,1640.7590921118367,1883.0567960563058,2003.8669647713327
X10,2.245585508815608,2.3979609456066107,2.5221931110851847,2.6234799803111253,2.7060594784473153,2.773386799002688,2.8282789719448163,2.873032730529794,2.9095206084936347,2.93926928839001,2.963523479232624,2.9832979961348554,2.9994202210012317,3.0125647208606785,3.023281472300818,3.0320188729366584,3.039142502732274,3.0449504201644704,3.0496856332323885,3.0535462671102542,3.0566938538661503,3.0592600910954024,3.0613523522553097,3.0630581792581126,95.4077263850542,87.83761020843689,86.00474914217324,85.74013093167906,85.9041821122729,86.18540739391861,86.49866148434504,86.82067044963463,87.14507250529466,87.47012869726281,2787.029954158482,3084.6928080254797,3282.8381527895212,3699.8393744061977,3878.1412815450544
X16,3.3143873375729833,3.423443040789673,3.510585057520403,3.5802167306554646,3.6358565940128873,3.6803161661450674,3.715842018203308,3.7442292946420417,3.7669124230378923,3.785037596649849,3.799520692311542,3.811093550284465,3.820340954623283,3.8277301826951784,3.8336346170097126,3.838352612480342,3.842122572492614,3.8451349955825904,3.847542101452012,3.8494655227290173,3.8510024511441046,3.852230548691606,3.8532118719408697,3.8539960077951463,121.96614581448732,117.67576858877587,115.88951924904093,115.3193436973225,115.33972722454827,115.64690258065826,116.09335198410288,116.60743671849967,117.15436704100534,117.7172480898996,3774.691103171782,4311.691579290291,4701.420221112224,5404.576877678442,5759.051155039601
X18,2.4954854942160054,2.50070488990735,2.5049030164988366,2.5082773599849735,2.5109872178769077,2.513161083828687,2.5149026042752856,2.516295383216936,2.5174068578873117,2.5182914249716544,2.51899296229834,2.519546862903073,2.519981675759738,2.520320429238002,2.520581698639788,2.5207804673028913,2.5209288211902936,2.5210365091645808,2.521111394920341,2.5211598215249884,2.521186905467186,2.5211967738442085,2.5211927556836455,2.5211775362686275,65.58461643835618,66.29423287671234,67.0038493150685,67.71346575342467,68.42308219178084,69.132698630137,69.84231506849316,70.55193150684933,71.26154794520549,71.97116438356166,2363.094753424658,3045.036150684932,3596.1082191780824,4386.920835616439,4894.7063013698635
X20,0.625216319310743,0.8177746880113425,0.9351258731844694,1.0067370115087932,1.0505296385207443,1.07740340285215,1.0939873313548554,1.1043131133508601,1.1108327707058778,1.1150375917483837,1.1178345589607708,1.1197752874852354,1.1211952625941035,1.1222985221379305,1.12320915932704,1.1240026460643486,1.1247248833956514,1.1254037877497594,1.1260563375415236,1.1266928588256406,1.1273196317764695,1.127940475915709,1.1285577142275909,1.1291727595214054,15.559687961785897,60.67498837376734,21.441612779482256,57.38102261716312,26.325336181126954,54.97666870059729,30.416224376158883,53.27890122606621,33.87739230157723,52.14234975338802,1440.0908259973335,1948.223295812415,2356.2777506449675,2921.797723918448,3298.8056796415394
X26,1.0880369564620296,1.1863269755333026,1.2595182679933927,1.3140198882249847,1.3546043144323563,1.384825354533231,1.4073293382069685,1.424086844881041,1.436565259103289,1.445857263249879,1.4527765191362807,1.4579289169684615,1.461765630606012,1.464622624963984,1.4667500750508493,1.4683342727443005,1.469513939589333,1.4703923740618876,1.4710464969829662,1.4715335871521806,1.4718962970119023,1.4721663875426794,1.4723675094390387,1.472517274101572,33.65354859457594,33.617407734582294,33.58126687458865,33.545126014595006,33.50898515460136,33.47284429460772,33.436703434614074,33.40056257462043,33.364421714626786,33.32828085463314,1026.4545065348095,991.7231400809175,926.663184151862,923.3807738329303,860.5254103634871
X30,4.797998760687122,4.52798088713694,4.30668360175215,4.1253160208776345,3.976673441123085,3.854851137437101,3.755009801933732,3.6731833056889145,3.60612114697533,3.551159327299337,3.506114525878645,3.4691973687140707,3.43894134692844,3.4141445607021432,3.393821974622942,3.377166287826378,3.3635158645198118,3.3523284509520392,3.3431596347530443,3.335645190955854,3.329486613408262,3.324439256819623,3.3203026183936215,3.316912372991506,126.5813259464792,118.86583461896271,117.61621969007815,118.03409251282935,118.88199449642926,119.84079689234035,120.82819944510247,121.82297770508566,122.81965808949755,123.81682901362771,4039.645975711128,4982.270439126939,5734.119411140632,6868.2430105636995,7559.254157692338
X31,0.2669199153828619,0.31724475973290167,0.35674031195733263,0.3877369035148289,0.41206340698343796,0.43115514388975373,0.446138572090618,0.4578977494641647,0.4671264954259572,0.47436932792365355,0.4800535912901899,0.4845146705751828,0.4880157800600376,0.49076349352618814,0.492919932599209,0.49461233231007334,0.4959405482644065,0.49698294836056583,0.4978010366819176,0.49844308238394514,0.4989469676891538,0.4993424230282418,0.4996527812061775,0.4998963540931532,11.200726031788987,11.317452063577973,11.434178095366958,11.550904127155944,11.66763015894493,11.784356190733915,11.9010822225229,12.017808254311886,12.134534286100871,12.251260317889857,401.5001117673368,513.673828316552,603.9080239093914,734.4027544295236,817.5166620832348
X32,0.23150121873306748,0.33062521113669263,0.3928252087290702,0.43185551417457885,0.45634690970730774,0.4717151843926804,0.4813587290608249,0.487410023410412,0.49120719183400063,0.4935899032349231,0.49508504724402663,0.49602324546941506,0.4966119619440574,0.4969813797047569,0.49721318820307214,0.49735864731632484,0.4974499224584445,0.49750719732684334,0.4975431371290055,0.4975656892433196,0.49757984062505906,0.4975887205731804,0.4975942927130667,0.4975977892135517,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,366.5100675599087,366.5100675599087,354.68716215475035,366.5100675599087,354.68716215475035
